node_id,department
20,Dcar
89,Dcar
97,Dcar
118,Dcar
132,Dcar
220,Dcar
378,Dcar
656,Dcar
720,Dcar
741,Dcar
886,Dcar
1204,Dcar
1209,Dcar
1374,Dcar
1492,Dcar
290,Dg
502,Dg
47,Disq
119,Disq
198,Disq
213,Disq
253,Disq
267,Disq
270,Disq
343,Disq
366,Disq
420,Disq
428,Disq
445,Disq
478,Disq
520,Disq
525,Disq
660,Disq
691,Disq
836,Disq
39,Dmct
43,Dmct
59,Dmct
63,Dmct
72,Dmct
80,Dmct
122,Dmct
211,Dmct
219,Dmct
246,Dmct
257,Dmct
285,Dmct
339,Dmct
407,Dmct
466,Dmct
468,Dmct
533,Dmct
637,Dmct
702,Dmct
706,Dmct
753,Dmct
784,Dmct
790,Dmct
793,Dmct
809,Dmct
866,Dmct
871,Dmct
889,Dmct
894,Dmct
923,Dmct
924,Dmct
939,Dmct
999,Dmct
3,Dmi
15,Dmi
34,Dmi
54,Dmi
62,Dmi
74,Dmi
79,Dmi
99,Dmi
120,Dmi
131,Dmi
134,Dmi
141,Dmi
156,Dmi
158,Dmi
159,Dmi
160,Dmi
162,Dmi
165,Dmi
178,Dmi
183,Dmi
193,Dmi
205,Dmi
226,Dmi
236,Dmi
242,Dmi
250,Dmi
259,Dmi
261,Dmi
295,Dmi
333,Dmi
353,Dmi
372,Dmi
425,Dmi
434,Dmi
447,Dmi
453,Dmi
460,Dmi
464,Dmi
489,Dmi
491,Dmi
498,Dmi
574,Dmi
615,Dmi
642,Dmi
677,Dmi
694,Dmi
698,Dmi
751,Dmi
763,Dmi
841,Dmi
859,Dmi
880,Dmi
884,Dmi
909,Dmi
959,Dmi
1067,Dmi
1090,Dmi
1164,Dmi
1238,Dmi
1342,Dmi
38,Dse
172,Dse
184,Dse
210,Dse
222,Dse
248,Dse
252,Dse
269,Dse
275,Dse
322,Dse
374,Dse
424,Dse
465,Dse
477,Dse
486,Dse
504,Dse
510,Dse
513,Dse
527,Dse
577,Dse
634,Dse
638,Dse
674,Dse
743,Dse
771,Dse
854,Dse
867,Dse
882,Dse
893,Dse
908,Dse
921,Dse
943,Dse
1460,Dse
1485,Dse
27,Dst
45,Dst
71,Dst
77,Dst
147,Dst
215,Dst
346,Dst
387,Dst
401,Dst
426,Dst
429,Dst
487,Dst
488,Dst
580,Dst
582,Dst
603,Dst
649,Dst
725,Dst
779,Dst
954,Dst
1245,Dst
1323,Dst
1362,Dst
1392,Dst
14,Scom
181,Scom
441,Scom
544,Scom
778,Scom
998,Scom
1260,Scom
106,Sdoc
245,Sdoc
435,Sdoc
440,Sdoc
1,Sfle
117,Sfle
197,Sfle
200,Sfle
251,Sfle
255,Sfle
413,Sfle
432,Sfle
461,Sfle
475,Sfle
496,Sfle
626,Sfle
653,Sfle
874,Sfle
977,Sfle
1414,Sfle
1870,Sfle
18,Srh
232,Srh
272,Srh
531,Srh
621,Srh
650,Srh
744,Srh
797,Srh
845,Srh
55,Ssi
110,Ssi
164,Ssi
173,Ssi
628,Ssi
847,Ssi
970,Ssi
985,Ssi
1216,Ssi
